1.573008992605823497e+00,1.053694517323078506e+00,1.176515024137426479e+00,1.632703960606876947e+00,1.822539637065224927e+00,1.493973208479495884e+00,1.718598047207484436e+00,1.957500398149798926e+00,1.850847942261003132e+00,1.313558504780980352e+00
1.492835286251950055e+00,1.979850425930607560e+00,1.442788298847769157e+00,1.265435410366081870e+00,1.582846390028722183e+00,1.067451399074943463e+00,1.916400407970954234e+00,1.322836967171474587e+00,1.097965891679271166e+00,1.413878800719751139e+00
1.788903053722263881e+00,1.470225678139294612e+00,1.179051307236026691e+00,1.137773943449249092e+00,1.933826542746707844e+00,1.120687410070920098e+00,1.488225867228977872e+00,1.118243083312073338e+00,1.325809939332530218e+00,1.427531191836775015e+00
1.275320302932974048e+00,1.037956713872712378e+00,1.252006566930824683e+00,1.693456674696968811e+00,1.565135402645011276e+00,1.605058191256933275e+00,1.198258497674866252e+00,1.607519373759248582e+00,1.790902207998693374e+00,1.284622894524253045e+00
1.617717804944561966e+00,1.342841250996863911e+00,1.953755766740680411e+00,1.928089964764520658e+00,1.863757560730550100e+00,1.981911699357819856e+00,1.669841422119173746e+00,1.529244643771626944e+00,1.273581206297975221e+00,1.859671654543763042e+00
1.758775132826752463e+00,1.634960665910867084e+00,1.708372151678750228e+00,1.631996929928645645e+00,1.641344354857253940e+00,1.987604213239775541e+00,1.558784726871127013e+00,1.965028323443903435e+00,1.320167153716612862e+00,1.679222147237970475e+00
1.592957564214121380e+00,1.426574099851944499e+00,1.638234671157246858e+00,1.592216789237860475e+00,1.228843884281839660e+00,1.392201808143623154e+00,1.365710365913696878e+00,1.705877589339407363e+00,1.866497361557198920e+00,1.830388725099700409e+00
1.335284865058262715e+00,1.998435958248423461e+00,1.974252604459050708e+00,1.996102644764352618e+00,1.556892776256397104e+00,1.743954484696624396e+00,1.354557650735859653e+00,1.800119540964629783e+00,1.186762632282943875e+00,1.663086038576390369e+00
1.171460774499287316e+00,1.407863768818775618e+00,1.468846224500276909e+00,1.871976543702333684e+00,1.877890270298862907e+00,1.472303430486771703e+00,1.679719741286191281e+00,1.200432534172045873e+00,1.649194436558591992e+00,1.926465517568370922e+00
1.351909294197904732e+00,1.564260425538091859e+00,1.004561079433518245e+00,1.860095870709715271e+00,1.811331714758868561e+00,1.156778543627806188e+00,1.589716381939525247e+00,1.942642271078830696e+00,1.025130241641817985e+00,1.597579285822976480e+00
